whole milk,other vegetables,yogurt,root vegetables,bottled beer,fruit/vegetable juice,frozen vegetables,,,,,,,,,,,,
shopping bags,coffee,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,soda,bottled water,sugar,,,,,,,,,,,,,,
whole milk,other vegetables,tropical fruit,,,,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,butter,dessert,,,,,,,,,,,,,,,
soda,frankfurter,,,,,,,,,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
other vegetables,bottled beer,frozen vegetables,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
whole milk,root vegetables,hamburger meat,,,,,,,,,,,,,,,,
whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,
shopping bags,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,tropical fruit,bottled beer,fruit/vegetable juice,brown bread,white bread,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
curd,salty snack,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,
soda,shopping bags,curd,chocolate,waffles,salty snack,dessert,,,,,,,,,,,,
whole milk,cream cheese,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
dessert,,,,,,,,,,,,,,,,,,
sausage,coffee,,,,,,,,,,,,,,,,,
other vegetables,bottled water,shopping bags,waffles,,,,,,,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
other vegetables,bottled water,,,,,,,,,,,,,,,,,
soda,bottled beer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,yogurt,root vegetables,tropical fruit,bottled beer,pip fruit,fruit/vegetable juice,whipped/sour cream,domestic eggs,frankfurter,butter,curd,white bread,cream cheese,waffles,sugar,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,
shopping bags,curd,cream cheese,,,,,,,,,,,,,,,,
whole milk,tropical fruit,shopping bags,frankfurter,margarine,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
shopping bags,curd,,,,,,,,,,,,,,,,,
rolls/buns,frankfurter,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
whole milk,root vegetables,brown bread,beef,dessert,berries,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
pip fruit,pork,beef,,,,,,,,,,,,,,,,
citrus fruit,frankfurter,margarine,sugar,UHT-milk,,,,,,,,,,,,,,
sausage,bottled beer,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rolls/buns,curd,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,root vegetables,pork,,,,,,,,,,,,,,,
pastry,citrus fruit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rolls/buns,soda,pastry,,,,,,,,,,,,,,,,
soda,yogurt,bottled water,butter,hygiene articles,,,,,,,,,,,,,,
shopping bags,coffee,sugar,,,,,,,,,,,,,,,,
other vegetables,soda,yogurt,shopping bags,sausage,,,,,,,,,,,,,,
whole milk,soda,UHT-milk,,,,,,,,,,,,,,,,
whole milk,rolls/buns,sausage,margarine,pork,beef,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
soda,shopping bags,sausage,newspapers,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,sausage,citrus fruit,whipped/sour cream,beef,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rolls/buns,soda,shopping bags,sausage,canned beer,,,,,,,,,,,,,,
bottled beer,curd,,,,,,,,,,,,,,,,,
tropical fruit,frankfurter,onions,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
other vegetables,bottled water,root vegetables,tropical fruit,shopping bags,berries,,,,,,,,,,,,,
other vegetables,rolls/buns,bottled water,citrus fruit,brown bread,curd,cream cheese,dessert,,,,,,,,,,,
whole milk,bottled water,,,,,,,,,,,,,,,,,
rolls/buns,sausage,beef,,,,,,,,,,,,,,,,
rolls/buns,root vegetables,sausage,frankfurter,butter,curd,salty snack,long life bakery product,,,,,,,,,,,
other vegetables,rolls/buns,butter,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,root vegetables,,,,,,,,,,,,,,,
whole milk,whipped/sour cream,margarine,,,,,,,,,,,,,,,,
whole milk,rolls/buns,yogurt,citrus fruit,whipped/sour cream,curd,napkins,dessert,sugar,hygiene articles,,,,,,,,,
pastry,citrus fruit,newspapers,margarine,curd,sugar,,,,,,,,,,,,,
whole milk,other vegetables,soda,bottled water,bottled beer,napkins,,,,,,,,,,,,,
whole milk,rolls/buns,citrus fruit,,,,,,,,,,,,,,,,
sausage,napkins,hygiene articles,,,,,,,,,,,,,,,,
whole milk,bottled water,root vegetables,bottled beer,frankfurter,butter,beef,hamburger meat,,,,,,,,,,,
rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,
rolls/buns,soda,chocolate,cream cheese,,,,,,,,,,,,,,,
beef,frozen vegetables,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,soda,shopping bags,whipped/sour cream,pork,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,yogurt,bottled water,sausage,pip fruit,curd,hygiene articles,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
other vegetables,pip fruit,fruit/vegetable juice,,,,,,,,,,,,,,,,
other vegetables,yogurt,root vegetables,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,soda,yogurt,bottled water,tropical fruit,sausage,citrus fruit,newspapers,chocolate,,,,,,,,
whole milk,root vegetables,,,,,,,,,,,,,,,,,
other vegetables,root vegetables,pastry,pork,berries,,,,,,,,,,,,,,
pork,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
rolls/buns,sausage,whipped/sour cream,frankfurter,margarine,butter,,,,,,,,,,,,,
whole milk,other vegetables,soda,tropical fruit,pip fruit,domestic eggs,napkins,sugar,hygiene articles,onions,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,
whole milk,soda,root vegetables,citrus fruit,berries,,,,,,,,,,,,,,
rolls/buns,bottled water,fruit/vegetable juice,frankfurter,hygiene articles,,,,,,,,,,,,,,
tropical fruit,margarine,,,,,,,,,,,,,,,,,
whole milk,root vegetables,tropical fruit,whipped/sour cream,hygiene articles,,,,,,,,,,,,,,
whole milk,other vegetables,root vegetables,citrus fruit,pip fruit,brown bread,domestic eggs,margarine,cream cheese,waffles,,,,,,,,,
whole milk,other vegetables,rolls/buns,yogurt,bottled water,pastry,fruit/vegetable juice,margarine,curd,hamburger meat,,,,,,,,,
whole milk,other vegetables,rolls/buns,soda,yogurt,pip fruit,whipped/sour cream,chicken,waffles,dessert,,,,,,,,,
whole milk,rolls/buns,root vegetables,tropical fruit,citrus fruit,chicken,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,soda,citrus fruit,frankfurter,sugar,onions,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
pastry,pip fruit,,,,,,,,,,,,,,,,,
whole milk,yogurt,bottled water,brown bread,domestic eggs,curd,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,yogurt,sausage,brown bread,,,,,,,,,,,,,,
whole milk,pastry,fruit/vegetable juice,waffles,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
citrus fruit,sugar,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,shopping bags,citrus fruit,salty snack,,,,,,,,,,,,,,
sausage,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,bottled water,newspapers,canned beer,napkins,chicken,,,,,,,,,,,,
whole milk,other vegetables,yogurt,root vegetables,whipped/sour cream,margarine,hamburger meat,,,,,,,,,,,,
other vegetables,soda,yogurt,sausage,pork,dessert,,,,,,,,,,,,,
whole milk,root vegetables,whipped/sour cream,beef,berries,,,,,,,,,,,,,,
yogurt,bottled water,citrus fruit,,,,,,,,,,,,,,,,
coffee,UHT-milk,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,citrus fruit,beef,,,,,,,,,,,,,,,
rolls/buns,sausage,,,,,,,,,,,,,,,,,
rolls/buns,yogurt,root vegetables,canned beer,frankfurter,curd,beef,napkins,dessert,hygiene articles,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,
soda,newspapers,chocolate,onions,,,,,,,,,,,,,,,
tropical fruit,white bread,cream cheese,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
pastry,beef,white bread,,,,,,,,,,,,,,,,
whole milk,yogurt,root vegetables,tropical fruit,sausage,chicken,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,shopping bags,chicken,long life bakery product,,,,,,,,,,,,,,,
pastry,citrus fruit,brown bread,pork,sugar,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,brown bread,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
soda,tropical fruit,salty snack,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
soda,yogurt,sausage,citrus fruit,canned beer,coffee,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,,,,,,,,,
chicken,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,bottled water,brown bread,frankfurter,,,,,,,,,,,,,,
other vegetables,root vegetables,margarine,curd,cream cheese,berries,,,,,,,,,,,,,
margarine,hygiene articles,,,,,,,,,,,,,,,,,
rolls/buns,soda,yogurt,tropical fruit,shopping bags,,,,,,,,,,,,,,
other vegetables,rolls/buns,soda,whipped/sour cream,chocolate,,,,,,,,,,,,,,
white bread,salty snack,hamburger meat,,,,,,,,,,,,,,,,
rolls/buns,soda,yogurt,napkins,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,,,,,,,,,,,,,,,,,
soda,citrus fruit,pip fruit,fruit/vegetable juice,waffles,,,,,,,,,,,,,,
shopping bags,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,frankfurter,curd,,,,,,,,,,,,,,,
whole milk,sausage,citrus fruit,canned beer,,,,,,,,,,,,,,,
rolls/buns,frankfurter,,,,,,,,,,,,,,,,,
salty snack,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rolls/buns,soda,pastry,curd,cream cheese,,,,,,,,,,,,,,
other vegetables,butter,,,,,,,,,,,,,,,,,
citrus fruit,,,,,,,,,,,,,,,,,,
whole milk,frankfurter,,,,,,,,,,,,,,,,,
whole milk,root vegetables,butter,salty snack,,,,,,,,,,,,,,,
whole milk,tropical fruit,bottled beer,,,,,,,,,,,,,,,,
pip fruit,beef,hamburger meat,,,,,,,,,,,,,,,,
shopping bags,whipped/sour cream,waffles,berries,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,,,,,,,,,
root vegetables,domestic eggs,margarine,,,,,,,,,,,,,,,,
whole milk,soda,,,,,,,,,,,,,,,,,
beef,,,,,,,,,,,,,,,,,,
frozen vegetables,,,,,,,,,,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
whole milk,citrus fruit,curd,,,,,,,,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,,,,,,,,,
sausage,pip fruit,brown bread,frankfurter,pork,butter,white bread,,,,,,,,,,,,
whole milk,root vegetables,tropical fruit,whipped/sour cream,domestic eggs,,,,,,,,,,,,,,
yogurt,root vegetables,sausage,pastry,whipped/sour cream,frankfurter,napkins,,,,,,,,,,,,
whole milk,other vegetables,root vegetables,curd,berries,,,,,,,,,,,,,,
rolls/buns,pastry,bottled beer,brown bread,coffee,,,,,,,,,,,,,,
root vegetables,coffee,curd,frozen vegetables,dessert,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,
other vegetables,bottled water,,,,,,,,,,,,,,,,,
white bread,berries,,,,,,,,,,,,,,,,,
coffee,berries,,,,,,,,,,,,,,,,,
other vegetables,bottled water,,,,,,,,,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,pastry,citrus fruit,whipped/sour cream,waffles,hygiene articles,,,,,,,,,,,,
whole milk,napkins,salty snack,,,,,,,,,,,,,,,,
rolls/buns,bottled water,tropical fruit,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,
whipped/sour cream,butter,napkins,frozen vegetables,onions,,,,,,,,,,,,,,
shopping bags,salty snack,hamburger meat,,,,,,,,,,,,,,,,
other vegetables,shopping bags,sausage,pastry,cream cheese,,,,,,,,,,,,,,
pastry,napkins,,,,,,,,,,,,,,,,,
rolls/buns,tropical fruit,sausage,,,,,,,,,,,,,,,,
hamburger meat,,,,,,,,,,,,,,,,,,
whole milk,onions,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,
shopping bags,,,,,,,,,,,,,,,,,,
rolls/buns,soda,yogurt,bottled water,shopping bags,pastry,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
whole milk,sausage,coffee,,,,,,,,,,,,,,,,
yogurt,chocolate,,,,,,,,,,,,,,,,,
rolls/buns,domestic eggs,hygiene articles,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,
napkins,hygiene articles,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,yogurt,shopping bags,fruit/vegetable juice,coffee,long life bakery product,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,,,,,,,,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,,,,,,,,,
bottled water,salty snack,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
yogurt,frankfurter,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,
whole milk,other vegetables,rolls/buns,bottled water,bottled beer,margarine,,,,,,,,,,,,,
other vegetables,tropical fruit,shopping bags,citrus fruit,onions,,,,,,,,,,,,,,
whole milk,soda,sausage,newspapers,hamburger meat,,,,,,,,,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,,,,,,,,,
other vegetables,root vegetables,tropical fruit,citrus fruit,pork,curd,hygiene articles,,,,,,,,,,,,
soda,fruit/vegetable juice,coffee,frozen vegetables,salty snack,,,,,,,,,,,,,,
yogurt,citrus fruit,pip fruit,fruit/vegetable juice,pork,,,,,,,,,,,,,,
rolls/buns,whipped/sour cream,domestic eggs,beef,berries,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,
rolls/buns,yogurt,chicken,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,
bottled water,root vegetables,pastry,,,,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,,,,,,
shopping bags,berries,,,,,,,,,,,,,,,,,
soda,yogurt,bottled water,root vegetables,tropical fruit,citrus fruit,,,,,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,
soda,bottled water,,,,,,,,,,,,,,,,,
other vegetables,rolls/buns,tropical fruit,,,,,,,,,,,,,,,,
salty snack,,,,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,
citrus fruit,frozen vegetables,cream cheese,UHT-milk,,,,,,,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,,,,,,
other vegetables,soda,bottled water,pastry,napkins,onions,,,,,,,,,,,,,
soda,dessert,,,,,,,,,,,,,,,,,
