Frequent Itemset,Support
"('sausage', 'pip fruit')",106
"('yogurt', 'cream cheese')",122
"('other vegetables', 'cream cheese')",135
"('other vegetables', 'coffee')",132
"('other vegetables', 'long life bakery product')",105
"('other vegetables', 'butter')",197
"('other vegetables', 'rolls/buns')",419
"('other vegetables', 'bottled beer')",159
"('other vegetables', 'white bread')",135
"('other vegetables', 'bottled water')",244
"('other vegetables', 'chocolate')",125
"('other vegetables', 'curd')",169
"('other vegetables', 'beef')",194
"('other vegetables', 'frankfurter')",162
"('other vegetables', 'soda')",322
"('other vegetables', 'chicken')",176
"('other vegetables', 'sugar')",106
"('other vegetables', 'fruit/vegetable juice')",207
"('other vegetables', 'newspapers')",190
"('other vegetables', 'butter milk')",102
"('other vegetables', 'pastry')",222
"('other vegetables', 'root vegetables')",466
"('other vegetables', 'salty snack')",106
"('other vegetables', 'sausage')",265
"('other vegetables', 'brown bread')",184
"('other vegetables', 'shopping bags')",228
"('other vegetables', 'hamburger meat')",136
"('other vegetables', 'napkins')",142
"('other vegetables', 'pork')",213
"('other vegetables', 'berries')",101
"('other vegetables', 'whipped/sour cream')",284
"('other vegetables', 'dessert')",114
"('other vegetables', 'domestic eggs')",219
"('other vegetables', 'frozen vegetables')",175
"('other vegetables', 'onions')",140
"('rolls/buns', 'butter')",132
"('root vegetables', 'butter')",127
"('butter', 'whipped/sour cream')",100
"('rolls/buns', 'bottled beer')",134
"('rolls/buns', 'bottled water')",238
"('rolls/buns', 'chocolate')",116
"('rolls/buns', 'beef')",134
"('rolls/buns', 'frankfurter')",189
"('rolls/buns', 'soda')",377
"('rolls/buns', 'fruit/vegetable juice')",143
"('rolls/buns', 'newspapers')",194
"('rolls/buns', 'pastry')",206
"('rolls/buns', 'root vegetables')",239
"('rolls/buns', 'canned beer')",111
"('rolls/buns', 'sausage')",301
"('rolls/buns', 'brown bread')",124
"('rolls/buns', 'shopping bags')",192
"('rolls/buns', 'napkins')",115
"('rolls/buns', 'pork')",111
"('rolls/buns', 'whipped/sour cream')",144
"('rolls/buns', 'domestic eggs')",154
"('frozen vegetables', 'rolls/buns')",100
"('bottled water', 'bottled beer')",155
"('soda', 'bottled beer')",167
"('soda', 'white bread')",101
"('bottled water', 'soda')",285
"('fruit/vegetable juice', 'bottled water')",140
"('bottled water', 'newspapers')",111
"('root vegetables', 'bottled water')",154
"('sausage', 'bottled water')",118
"('bottled water', 'shopping bags')",108
"('soda', 'chocolate')",133
"('yogurt', 'curd')",170
"('root vegetables', 'curd')",107
"('whipped/sour cream', 'curd')",103
"('whole milk', 'beef')",209
"('root vegetables', 'beef')",171
"('soda', 'frankfurter')",111
"('root vegetables', 'frankfurter')",100
"('frankfurter', 'soda')",111
"('fruit/vegetable juice', 'soda')",181
"('soda', 'newspapers')",144
"('pastry', 'soda')",207
"('root vegetables', 'soda')",183
"('canned beer', 'soda')",136
"('sausage', 'soda')",239
"('brown bread', 'soda')",124
"('soda', 'shopping bags')",242
"('soda', 'napkins')",118
"('pork', 'soda')",117
"('soda', 'whipped/sour cream')",114
"('domestic eggs', 'soda')",122
"('chicken', 'root vegetables')",107
"('root vegetables', 'fruit/vegetable juice')",118
"('fruit/vegetable juice', 'shopping bags')",105
"('tropical fruit', 'newspapers')",116
"('root vegetables', 'newspapers')",113
"('butter milk', 'other vegetables')",102
"('pastry', 'rolls/buns')",206
"('pastry', 'root vegetables')",108
"('pastry', 'sausage')",123
"('pastry', 'shopping bags')",117
"('fruit/vegetable juice', 'root vegetables')",118
"('sausage', 'root vegetables')",147
"('root vegetables', 'brown bread')",100
"('root vegetables', 'shopping bags')",126
"('root vegetables', 'pork')",134
"('root vegetables', 'whipped/sour cream')",168
"('domestic eggs', 'root vegetables')",141
"('frozen vegetables', 'root vegetables')",114
"('whole milk', 'salty snack')",110
"('canned beer', 'shopping bags')",112
"('sausage', 'rolls/buns')",301
"('sausage', 'pastry')",123
"('sausage', 'brown bread')",105
"('sausage', 'shopping bags')",154
"('soda', 'brown bread')",124
"('soda', 'pork')",117
"('whole milk', 'whipped/sour cream')",317
"('whole milk', 'dessert')",135
"('domestic eggs', 'rolls/buns')",154
"('whole milk', 'ham')",113
"('frozen vegetables', 'other vegetables')",175
"('whole milk', 'onions')",119
"('whole milk', 'citrus fruit', 'yogurt')",101
"('whole milk', 'yogurt', 'citrus fruit')",101
"('other vegetables', 'whole milk', 'citrus fruit')",128
"('other vegetables', 'root vegetables', 'citrus fruit')",102
"('whole milk', 'tropical fruit', 'yogurt')",149
"('other vegetables', 'tropical fruit', 'yogurt')",121
"('other vegetables', 'whole milk', 'tropical fruit')",168
"('rolls/buns', 'whole milk', 'tropical fruit')",108
"('root vegetables', 'whole milk', 'tropical fruit')",118
"('other vegetables', 'root vegetables', 'tropical fruit')",121
"('other vegetables', 'whole milk', 'yogurt')",219
"('rolls/buns', 'whole milk', 'yogurt')",153
"('soda', 'whole milk', 'yogurt')",103
"('root vegetables', 'whole milk', 'yogurt')",143
"('whipped/sour cream', 'whole milk', 'yogurt')",107
"('other vegetables', 'rolls/buns', 'yogurt')",113
"('other vegetables', 'root vegetables', 'yogurt')",127
"('other vegetables', 'whipped/sour cream', 'yogurt')",100
"('whole milk', 'whipped/sour cream', 'yogurt')",107
"('other vegetables', 'whole milk', 'pip fruit')",133
"('other vegetables', 'butter', 'whole milk')",113
"('other vegetables', 'rolls/buns', 'whole milk')",176
"('other vegetables', 'bottled water', 'whole milk')",106
"('other vegetables', 'soda', 'whole milk')",137
"('other vegetables', 'fruit/vegetable juice', 'whole milk')",103
"('other vegetables', 'pastry', 'whole milk')",104
"('other vegetables', 'root vegetables', 'whole milk')",228
"('other vegetables', 'sausage', 'whole milk')",100
"('other vegetables', 'pork', 'whole milk')",100
"('other vegetables', 'whole milk', 'whipped/sour cream')",144
"('other vegetables', 'domestic eggs', 'whole milk')",121
"('rolls/buns', 'root vegetables', 'whole milk')",125
"('other vegetables', 'rolls/buns', 'root vegetables')",120
"('whipped/sour cream', 'whole milk', 'other vegetables')",144
